INFO 2025-03-04 12:27:58,094 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-04 12:27:58,101 autoreload Waiting for apps ready_event.
DEBUG 2025-03-04 12:27:59,027 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-04 12:27:59,057 autoreload Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-04 12:27:59,058 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2025-03-04 12:27:59,059 autoreload Watching dir /app/base/locale with glob **/*.mo.
DEBUG 2025-03-04 12:27:59,059 autoreload Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-04 12:27:59,060 autoreload Watching dir /usr/local/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-03-04 12:27:59,060 autoreload Watching dir /usr/local/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-03-04 12:27:59,253 autoreload File /usr/local/lib/python3.10/site-packages/MySQLdb/constants/FIELD_TYPE.py first seen with mtime 1740863747.2762
DEBUG 2025-03-04 12:27:59,254 autoreload File /usr/local/lib/python3.10/lib-dynload/cmath.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460860.0
DEBUG 2025-03-04 12:27:59,254 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1740867318.9777472
DEBUG 2025-03-04 12:27:59,255 autoreload File /usr/local/lib/python3.10/lib-dynload/mmap.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460863.0
DEBUG 2025-03-04 12:27:59,255 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/_scimath_impl.py first seen with mtime 1740863738.6162286
DEBUG 2025-03-04 12:27:59,256 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/missing.py first seen with mtime 1740863749.4761896
DEBUG 2025-03-04 12:27:59,256 autoreload File /usr/local/lib/python3.10/contextvars.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,256 autoreload File /usr/local/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1740863738.14623
DEBUG 2025-03-04 12:27:59,256 autoreload File /usr/local/lib/python3.10/xml/dom/domreg.py first seen with mtime 1740460896.0
DEBUG 2025-03-04 12:27:59,256 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework_simplejwt/token_blacklist/__init__.py first seen with mtime 1740867322.0077326
DEBUG 2025-03-04 12:27:59,257 autoreload File /usr/local/lib/python3.10/site-packages/numpy/_pytesttester.py first seen with mtime 1740863738.496229
DEBUG 2025-03-04 12:27:59,257 autoreload File /usr/local/lib/python3.10/site-packages/django/core/validators.py first seen with mtime 1740867318.1377513
DEBUG 2025-03-04 12:27:59,257 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/tslib.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.1261816
DEBUG 2025-03-04 12:27:59,257 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/testing.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.1361816
DEBUG 2025-03-04 12:27:59,257 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/postgres/fields/citext.py first seen with mtime 1740867317.4577546
DEBUG 2025-03-04 12:27:59,258 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/_type_check_impl.py first seen with mtime 1740863738.6262286
DEBUG 2025-03-04 12:27:59,258 autoreload File /usr/local/lib/python3.10/site-packages/django/utils/datastructures.py first seen with mtime 1740867319.4877448
